HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP8"
                OPERATOR        "EF"
                CREATION_DATE   10-02-2021/04:29:01.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                411041931,      "233",  420513.979056,  7622516.594645, 581.692868,     "",     10-02-2021/06:05:20.0   ,       MEAS;
                411041932,      "234",  420517.986840,  7622517.311772, 582.042396,     "",     10-02-2021/06:05:36.0   ,       MEAS;
                411041933,      "235",  420517.956515,  7622517.230909, 581.705408,     "",     10-02-2021/06:05:50.0   ,       MEAS;
                411041934,      "236",  420526.975867,  7622517.523253, 582.052550,     "",     10-02-2021/06:06:16.0   ,       MEAS;
                411041935,      "237",  420527.031326,  7622517.334801, 581.525308,     "",     10-02-2021/06:06:27.0   ,       MEAS;
                411041936,      "238",  420531.736385,  7622517.070621, 581.976914,     "",     10-02-2021/06:06:53.0   ,       MEAS;
                411041937,      "239",  420531.728947,  7622517.088357, 581.639502,     "",     10-02-2021/06:07:05.0   ,       MEAS;
                411041938,      "240",  420536.325373,  7622517.159339, 581.968486,     "",     10-02-2021/06:07:20.0   ,       MEAS;
                411041939,      "241",  420536.363806,  7622517.082845, 581.538558,     "",     10-02-2021/06:07:33.0   ,       MEAS;
                411041940,      "242",  420530.763687,  7622460.449708, 578.092515,     "",     10-02-2021/06:10:36.0   ,       MEAS;
                411041796,      "101",  420588.000000,  7622447.000000, 578.000000,     "",     10-02-2021/05:09:33.0   ,       FIX;
                411041795,      "TS2",  420561.000000,  7622410.000000, 578.000000,     "",     10-02-2021/04:31:33.0   ,       FIX;
                THEMINFO (PointNo, PointID, Attribute, Value)
                END THEMINFO
                ANNOTATIONS (PointNo, PointID, Annotation)
                END ANNOTATIONS
        END POINTS
END DATABASE
METEO
