HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "E13"
                OPERATOR        "SW"
                CREATION_DATE   24-04-2022/06:43:56.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                192938129,      "239",  426629.813095,  7665402.220985, 338.177309,     "",     24-04-2022/09:32:48.0   ,       MEAS;
                192938130,      "240",  426637.966928,  7665414.485863, 338.578498,     "",     24-04-2022/09:33:27.0   ,       MEAS;
                192938131,      "241",  426637.980449,  7665414.476816, 338.504768,     "",     24-04-2022/09:33:35.0   ,       MEAS;
                192938132,      "242",  426644.887440,  7665424.611861, 338.944016,     "",     24-04-2022/09:34:08.0   ,       MEAS;
                192938133,      "243",  426644.887971,  7665424.610834, 338.935303,     "",     24-04-2022/09:34:19.0   ,       MEAS;
                192938134,      "244",  426664.310897,  7665417.492044, 337.302515,     "",     24-04-2022/09:35:13.0   ,       MEAS;
                192938135,      "245",  426664.299776,  7665417.505905, 337.185928,     "",     24-04-2022/09:35:21.0   ,       MEAS;
                192938136,      "246",  426658.899726,  7665406.410334, 336.722304,     "",     24-04-2022/09:35:47.0   ,       MEAS;
                192938137,      "247",  426658.901784,  7665406.408912, 336.620353,     "",     24-04-2022/09:35:54.0   ,       MEAS;
                192938138,      "248",  426653.754048,  7665395.830036, 336.359953,     "",     24-04-2022/09:36:18.0   ,       MEAS;
                192938139,      "249",  426653.743234,  7665395.818757, 336.238947,     "",     24-04-2022/09:36:24.0   ,       MEAS;
                192938140,      "250",  426646.993992,  7665388.926438, 336.360982,     "",     24-04-2022/09:36:51.0   ,       MEAS;
                192938141,      "251",  426646.994891,  7665388.908966, 336.300530,     "",     24-04-2022/09:36:58.0   ,       MEAS;
                192938142,      "252",  426639.005683,  7665382.034320, 336.176285,     "",     24-04-2022/09:37:28.0   ,       MEAS;
                192938143,      "253",  426638.991224,  7665382.013548, 336.141797,     "",     24-04-2022/09:37:37.0   ,       MEAS;
                192938144,      "254",  426671.965877,  7665375.163939, 333.953113,     "",     24-04-2022/09:38:26.0   ,       MEAS;
                192938145,      "255",  426671.967253,  7665375.173865, 333.934256,     "",     24-04-2022/09:38:38.0   ,       MEAS;
                192938146,      "256",  426674.623356,  7665382.265638, 334.128738,     "",     24-04-2022/09:39:51.0   ,       MEAS;
                192938147,      "257",  426674.641105,  7665382.277317, 334.059287,     "",     24-04-2022/09:40:00.0   ,       MEAS;
                192938148,      "258",  426677.877947,  7665390.069467, 334.327983,     "",     24-04-2022/09:41:08.0   ,       MEAS;
                192938149,      "259",  426677.853177,  7665390.040312, 334.255874,     "",     24-04-2022/09:41:19.0   ,       MEAS;
                192938150,      "260",  426680.765834,  7665397.934200, 334.697271,     "",     24-04-2022/09:42:22.0   ,       MEAS;
                192938151,      "261",  426680.765958,  7665397.937279, 334.600847,     "",     24-04-2022/09:42:33.0   ,       MEAS;
                192938152,      "262",  426684.004611,  7665406.452175, 334.938744,     "",     24-04-2022/09:43:33.0   ,       MEAS;
