HEADER
        VERSION 1.20
        SYSTEM  "TS02power-7\""
        UNITS
                ANGULAR DMS
                LINEAR  METRE
                TEMP    CELSIUS
                PRESS   HPA
                TIME    DMY
        END UNITS
        PROJECT
                NAME    "3EP12"
                OPERATOR        "EF"
                CREATION_DATE   06-07-2022/08:09:22.0
        END PROJECT
END HEADER
DATABASE
        POINTS (PointNo, PointID, East, North, Elevation, Code, Date, CLASS)
                444596331,      "201",  427436.938477,  7663142.649764, 352.399602,     "",     06-07-2022/10:13:21.0   ,       MEAS;
                444596332,      "202",  427411.747863,  7663145.795723, 351.846636,     "",     06-07-2022/10:15:13.0   ,       MEAS;
                444596333,      "203",  427411.627656,  7663145.821763, 351.353148,     "",     06-07-2022/10:15:28.0   ,       MEAS;
                444596334,      "204",  427412.177824,  7663138.800724, 352.103359,     "",     06-07-2022/10:15:51.0   ,       MEAS;
                444596335,      "205",  427412.164096,  7663138.801632, 351.670521,     "",     06-07-2022/10:16:00.0   ,       MEAS;
                444596336,      "206",  427412.150648,  7663134.397515, 352.494581,     "",     06-07-2022/10:16:23.0   ,       MEAS;
                444596337,      "207",  427412.025058,  7663134.491001, 352.055123,     "",     06-07-2022/10:16:38.0   ,       MEAS;
                444596338,      "208",  427412.033662,  7663129.149205, 352.772707,     "",     06-07-2022/10:16:58.0   ,       MEAS;
                444596339,      "209",  427412.060270,  7663129.154196, 352.223304,     "",     06-07-2022/10:17:08.0   ,       MEAS;
                444596340,      "210",  427409.805178,  7663090.423844, 354.195334,     "",     06-07-2022/10:17:52.0   ,       MEAS;
                444596341,      "211",  427409.796024,  7663090.511526, 353.647230,     "",     06-07-2022/10:18:05.0   ,       MEAS;
                444596342,      "212",  427381.560591,  7663099.524421, 352.409847,     "",     06-07-2022/10:20:12.0   ,       MEAS;
                444596343,      "213",  427381.437801,  7663099.500052, 352.025650,     "",     06-07-2022/10:20:22.0   ,       MEAS;
                444596344,      "214",  427385.952136,  7663127.628681, 351.938987,     "",     06-07-2022/10:21:09.0   ,       MEAS;
                444596345,      "215",  427385.907338,  7663127.561217, 351.662042,     "",     06-07-2022/10:21:20.0   ,       MEAS;
                444596346,      "216",  427386.789381,  7663134.762233, 351.870445,     "",     06-07-2022/10:21:36.0   ,       MEAS;
                444596347,      "217",  427386.725481,  7663134.784286, 351.421995,     "",     06-07-2022/10:21:50.0   ,       MEAS;
                444596348,      "218",  427387.591356,  7663141.840329, 351.590176,     "",     06-07-2022/10:22:09.0   ,       MEAS;
                444596349,      "219",  427387.666441,  7663141.863396, 351.346891,     "",     06-07-2022/10:22:20.0   ,       MEAS;
                444596350,      "220",  427388.537864,  7663148.011983, 351.281286,     "",     06-07-2022/10:22:37.0   ,       MEAS;
                444596351,      "221",  427388.471748,  7663148.075280, 350.884577,     "",     06-07-2022/10:22:51.0   ,       MEAS;
                444596352,      "222",  427306.964866,  7663149.211583, 349.798196,     "",     06-07-2022/10:26:42.0   ,       MEAS;
                444596353,      "223",  427306.981524,  7663149.225663, 349.391092,     "",     06-07-2022/10:26:52.0   ,       MEAS;
                444596354,      "224",  427307.339063,  7663146.046914, 350.024500,     "",     06-07-2022/10:27:10.0   ,       MEAS;
                444596355,      "225",  427307.372096,  7663146.083553, 349.559027,     "",     06-07-2022/10:27:19.0   ,       MEAS;
                444596356,      "226",  427308.067060,  7663134.984667, 350.128864,     "",     06-07-2022/10:27:43.0   ,       MEAS;
                444596357,      "227",  427308.093892,  7663135.092797, 349.535200,     "",     06-07-2022/10:27:53.0   ,       MEAS;
                444596358,      "228",  427307.210848,  7663123.037335, 350.327694,     "",     06-07-2022/10:28:14.0   ,       MEAS;
                444596359,      "229",  427307.285754,  7663123.071023, 349.817722,     "",     06-07-2022/10:28:25.0   ,       MEAS;
                444596360,      "230",  427307.054898,  7663120.604158, 350.311150,     "",     06-07-2022/10:28:40.0   ,       MEAS;
